ER66001,ER66002,ER67883,ER70882,ER71485,ER71570,ER71571
2,8110,0,1,300,65.853,27250.043
2,3774,0,1,99049,75.749,44472.438
2,5514,0,1,63100,45.955,28277.727
2,4863,0,1,8000,26.077,19735.848
2,470,0,2,147000,5.223,2576.297
2,868,0,2,3500,5.854,2674.225
2,40,0,2,49000,1.846,1262.148
2,392,0,2,-1000,0.605,302.754
2,283,0,2,230000,0.85,515.337
2,1963,0,1,641000,67.996,34628.877
2,1885,0,1,39800,64.96,63298.217
2,1100,0,1,7900,17.902,13472.029
2,3586,0,1,535000,49.399,17595.286
2,1914,0,1,677000,36.387,12960.58
2,2698,0,1,1395000,65.838,22417.413
2,2741,0,1,443000,62.44,38304.533
2,3059,0,1,409000,32.992,18100.555
2,2687,0,4,1090000,74.641,63260.1
2,3578,0,4,26000,37.192,53545.867
2,3880,0,1,127000,64.954,32598.997
2,6831,0,1,97000,31.234,17352.152
2,3902,0,1,0,65.668,32415.668
2,4503,0,1,361000,32.34,14107.705
2,3886,0,1,0,14.669,8315.784
2,8258,0,1,-39000,15.214,4852.733
2,8096,0,1,17000,12.061,4547.884
2,8600,0,1,-72250,32.436,7990.077
2,8029,0,1,103000,9.133,8364.029
2,8259,0,1,61700,6.456,5857.993
2,8073,0,1,24000,17.11,10168.653
2,8293,0,1,334500,14.479,5733.103
2,9260,0,1,1644,16.577,11137.589
2,8517,0,1,31680,10.667,5627.464
2,4197,0,1,-153925,21.72,10101.281
2,3834,0,1,4000,26.689,17352.609
2,3858,0,1,40130,21.861,20301.612
2,7180,0,1,16200,8.026,5218.396
2,4383,0,1,26500,19.869,9425.739
2,6731,0,2,-3000,20.403,8422.119
2,8301,0,1,3400,14.829,14192.16
2,8454,0,1,48600,12.306,5858.172
2,4456,0,1,89300,20.522,11400.787
2,4212,0,2,0,20.504,8641.941
2,4811,0,1,48500,13.201,11664.544
2,8283,0,1,67000,6.095,5195.761
2,5238,0,1,76200,27.341,14043.537
2,7953,0,1,71000,11.874,11116.835
2,8738,800,2,52200,9.9,5580.732
2,3360,0,1,50915,36.865,26632.773
2,3359,0,1,3000,8.4,4790.694
2,4260,0,1,463000,72.234,36220.943
2,4959,0,1,1315000,34.416,34038.971
2,4710,0,1,57800,71.633,42547.337
2,3934,0,1,352000,10.786,7891.573
2,3782,0,1,149000,14.821,9074.272
2,3833,0,1,370600,33.154,18332.99
2,9208,0,1,81900,36.076,29140.859
2,7897,0,1,120800,34.132,17757.139
2,6845,0,1,300000,37.547,22392.373
2,5744,0,1,56000,17.206,9510.73
2,6005,0,1,138000,64.533,45203.22
2,5715,0,1,56000,61.134,29586.922
2,6377,5200,1,44300,31.319,14653.097
2,7312,0,1,-188000,14.017,9278.038
2,6193,0,1,-9800,15.12,3732.116
2,5884,0,1,490000,28.556,15257.722
2,6411,0,1,146000,32.016,24231.124
2,5290,0,1,51015,63.591,36430.711
2,9018,0,1,-247476,34.009,21571.106
2,5557,0,1,7000,9.265,7175.496
2,4282,0,1,3700,58.639,37841.653
2,4452,7000,1,105000,30.037,19191.261
2,4300,0,1,40060,28.874,27033.474
2,7199,0,1,58000,26.903,14499.497
2,6979,0,1,100500,19.613,14444.325
2,4352,0,1,4100,28.326,20741.551
2,7142,0,1,2450,14.335,11633.956
2,7513,0,1,20600,14.85,8208.574
2,7058,6000,1,61100,13.351,8312.839
2,7986,0,1,-2000,14.13,7413.371
2,4413,0,1,1500,19.552,13081.531
2,7038,0,1,-1430,32.521,19316.264
2,4406,0,1,45000,14.739,10987.552
2,4717,0,1,144700,26.765,16671.115
2,4632,0,1,95500,7.399,3688.71
2,4417,0,1,516000,25.995,23477.291
2,7626,0,1,-90500,9.611,7766.291
2,4675,0,1,92660,72.427,43177.09
2,6553,0,1,0,62.388,43005.876
2,9312,0,1,0,28.789,22180.072
